Accession,Start date,End date,Lat,Lon,Title,Description,Image,Ware,Shape,Technique,Painter,Period,PeriodO_ID,Production_place,Pleiades_ID
,545 BC,535 BC,37.978573,23.717337,Amphora of Panathenaic Shape ,"This vase is shaped like the vases of oil given as prizes at the Panathenaic Festival, a music and athletic contest in Athens.",panathenaic.jpg,Attic,Panathenaic amphora,,,Arhaic,,Athens,
,560 BC,540 BC,37.902,22.877,Late Corinthian Round Aryballos           ,Two hoplites (Greek armored footsoldiers) wearing Corinthian helmets battle with spears.,mcaryballos.jpg,Corinthian,aryballos,black figure?,Warrior Group,Middle Corinthian,,Corinth,
,610 BC,590 BC,37.9025,22.876,Early Corinthian Round Aryballos,"The vase bears a decorative four-leaf design known as a quatrefoil.  The floral design, of Near Eastern origin, invokes the smell of the aromatic oil or perfume in the container.",ecaryballos.jpg,Corinthian,round arybasllos,blk fig,,early corinthian,,Corinth,
,480 BC,470 BC,37.976749,23.716402,Red-Figure Lekythos                                   ,"Winged Nike, the goddess of victory, extends a libation bowl with her right hand and holds a kithara (harp) with her left.",lekythos.jpg,Attic RF,lekythos,RF,Oionokles Ptr,Archaic/Classical,,Ahtens,
,425 BC,400 BC,37.976479,23.718464,Red-Figure Askos                    ,"Two male deer gallop toward the spout.  Vessels like these may have been used to hold liquids like wine, oil, honey or vinegar in small quantities.",askos.jpg,Attic,aksos,red figure,,High Classical,,Athenae,
,425 BC,390 BC,37.976154,23.717209,Red-Figure Squat Lekythos,"The sphinx, a mythical animal, stands with one paw over a wreathed altar.  She is a guardian figure, usually associated with graves.",squatlekythos.jpg,Attic,lekythos,red-figure,,Beautiful Style,,Athens,
,300 BC,289 BC,37.622932,14.740219,Polychrome Lebes Gamikos                             ,"Polychrome vases were designed only for display, usually in funerary contexts. One male and two female figures are barely discernable on the body of this vase.",lebes.jpg,S. It.,Lebes Gamikos,ploychrom,,Hellenistic,,Centuripe,
,-300,-200,41.22102,16.063385,Polychrome Oinochoe,"The faded scene on the body features Eros, the god of love, leading the four-horsed chariot of Nike, the goddess of victory.",polychromeoin.jpg,South Italian (Canosa),oinochoe ,polychrome,,Middle Hellenistic,,Canosa,
,360 BC,300 BC,40.887432,17.389984,Pelike,"Winged Eros, the god of love, chases a fawn. Pots like this, known as Gnathian ware, often bear ornate decoration.",pelike.jpg,Gnathian,pelike,added white,,LC/H,,,
,340 BC,320 BC,40.471,17.246,Red-Figure Fish Plate,"Octopus, flatfish, squid, and shellfish, native to this part of the Mediterranean, decorate this plate.  The depression in the center may have been meant to hold sauce or juices from cooked fish. ",fishplate.jpg,S. Italian,fish-plate,red figure,Darius Painter (wkshp of),Hell?,,Taras,
,510 BC,485 BC,37.978287,23.717648,Black-Figure Kyathos                               ,"Dionysus, god of wine, is seated between two satyrs and framed by two monstrous eyes. The shape of the vessel is specifically Etruscan and imitates metal prototypes.",kyathos.jpg,Athenian,kyathos,black figure ,,Late Archaic,,Athens,
,590 BC,580 BC,37.9018,22.8765,Middle Corinthian Stemless Kylix                           ,"Real and mythical animals, including lions, boars, sphinxes, and panthers, parade through the three decorative zones.  These animals, popular decoration on Corinthian vases, originate in Near Eastern art.",corkylix.jpg,Corinthian,kylix,,,Middle Corinthian,,Corinth,
,430 BC,420 BC,38.318,23.318,Red-Figure Kantharos,"Two-handled cups of this shape were strongly associated with Dionysus, the god of wine, and were especially popular in the Greek region of Boeotia.",kantharos.jpg,Boeotian,kantharos,RF,,Classical,,Boeotia,
,550 BC,500 BC,37.979176,23.71813,Black-Figure Oinochoe        ,The Greek hero Herakles fights the Nemean Lion. The skin of this lion will become the hero’s most prominent attribute.,oinochoe.jpg,Attic,oinochoe,BF,, Archaic ,,Athens,
,400 BC,390 BC,40.475941,17.228966,Red-Figure Hydria/Kalpis,"The meaning of the scene is unclear today, but similar elements in other Apulian vases suggest that its significance would have been understood by an Apulian audience.",hydria.jpg,South Italain,kalpis,red-figure,,Classical/Late Classical,,South Italy,
,510 BC,500 BC,37.978592,23.717979,Black-Figure Neck-Amphora,"Athena, goddess of wisdom, drives a four-horse chariot.  ",amphora.jpg,Attic,neck-amphora,black-figure,Leagros Group,Archaic,,Athens,
,435 BC,425 BC,37.977406,23.717316,Red-Figure Kylix – Type B,Two athletes use strigils (scrapers) to scrape olive oil from their bodies.,rfkylix_athletes.jpg,Attic ,kylix type B,Red fig.,Painter of Louvre G 456,Classical,,Athens,
,520 BCE,510 BCE,37.978718,23.71841,Black-Figure Kylix – Type A,"A gorgoneion, the fierce face of the mythical Gorgon -- a female monster also known as Medusa -- turns away evil and reminds the drinker of the dangers of excess.",bfkylix.jpg,Attic,type a kylix,BF ,Lysippides Painter (Manner of),Archaic,,Athens,
,435 BC,430 BC,37.977146,23.71841,Red-Figure Kylix – Type B,The youth on left holds a strigil (scraper) while the man on the right leans on the forked staff of a trainer.,rfkylix_trainer.jpg,Atitc,type b kylix,red-figure,Eretria Ptr,High Classical ,,Athens,
,475 BC,465 BC,37.976799,23.717648,Red-Figure Column-Krater                            ,"Ariadne, the daughter of the mythical king Minos of Crete, steps into a four-horse chariot.  Dionysus stands behind the horses.",colkrater.jpg,Attic,column-krater,red fig,Pig Painter,Severe,,Athens,
,420 BC,410 BC,37.97718,23.716372,Red-Figure Bell Krater,"The naked youth on left plays a lyre and a girl plays an aulos (reed pipe), while the youth to the right seems to direct movement with a torch, leading a lively procession.",bellkrater.jpg,Attic,bell krater,red figrue,Kadmos Painter,Late 5th c.,,Athens,
,770 BC,760 BC,37.978564,23.718207,Geometric Amphora,"Pots of this type were used in graves. Neck panels feature meander patterns, while vertical leaves on the body look forward to naturalistic figurative motifs that became prevalent after 700 BCE.",geometric.jpg, Attic,amphora,geometric,,Middle Geometric,,Kerameikos,
